index,title,release_date,vote_average
619,Scent of a Woman,1992-12-23,7.788
620,A Short Film About Love,1988-08-21,7.8
621,Rocky,1976-11-20,7.787
622,Whiplash,2013-01-18,7.786
623,Don't Be Bad,2015-09-08,7.786
624,Forbidden Games,1952-05-09,7.8
625,The Best Years of Our Lives,1946-12-25,7.785
626,Straight Outta Compton,2015-08-11,7.784
627,Polisse,2011-10-06,7.784
628,The Dark Knight Rises,2012-07-17,7.784
629,Brokeback Mountain,2005-10-22,7.784
630,Bajrangi Bhaijaan,2015-07-17,7.783
631,The Wind Rises,2013-07-20,7.783
632,The Twilight Samurai,2002-11-02,7.8
633,Dune,2021-09-15,7.782
634,Rififi,1955-04-13,7.8
635,Close,2022-11-01,7.781
636,Luck,2022-08-05,7.8
637,A Moment to Remember,2004-11-05,7.8
638,The Girl Who Leapt Through Time,2006-07-15,7.781
639,Day for Night,1973-05-24,7.8
640,Temple Grandin,2010-02-06,7.78
641,The King of Comedy,1982-12-18,7.78
642,The Summit of the Gods,2021-09-22,7.8
643,Through a Glass Darkly,1961-10-16,7.8
644,The Dinner Game,1998-04-15,7.778
645,Awakenings,1990-12-04,7.776
646,Emancipation,2022-12-02,7.8
647,Let the Bullets Fly,2010-12-20,7.774
648,Wings of Desire,1987-09-23,7.771
649,Donnie Darko,2001-01-19,7.771
650,Fanny and Alexander,1982-12-17,7.77
651,Angel's Egg,1985-12-15,7.766
652,Short Term 12,2013-08-23,7.768
653,Still Walking,2008-06-28,7.8
654,Back to the Future Part II,1989-11-22,7.768
655,Nine Queens,2000-08-31,7.8
656,Dogville,2003-05-21,7.768
657,The King and the Mockingbird,1980-03-19,7.8
658,The Color Purple,1985-12-18,7.8
659,Gran Turismo,2023-08-09,7.765
660,Le Samouraï,1967-10-25,7.765
661,Letter from an Unknown Woman,1948-04-28,7.765
662,The Heist of the Century,2020-01-16,7.8
663,Never Look Away,2018-10-03,7.8
664,The Normal Heart,2014-05-25,7.8
665,Life of Brian,1979-08-17,7.762
666,The Ten Commandments,1956-10-05,7.8
667,Everything Everywhere All at Once,2022-03-24,7.76
668,Big Fish,2003-12-25,7.76
669,Sonic the Hedgehog 3,2024-12-19,7.762
670,Ernest & Celestine,2012-12-12,7.759
671,Amour,2012-09-20,7.759
672,Ip Man,2008-12-12,7.759
673,The Untouchables,1987-06-03,7.76
674,Shelter,2007-06-16,7.758
675,Guy Ritchie's The Covenant,2023-04-19,7.756
676,A Walk to Remember,2002-01-25,7.756
677,The Hateful Eight,2015-12-25,7.754
678,Pan's Labyrinth,2006-10-10,7.753
679,Rain Man,1988-12-12,7.753
680,A Man Called Otto,2022-12-28,7.752
681,Nothing Left to Do But Cry,1984-12-20,7.749
682,Ali: Fear Eats the Soul,1974-03-05,7.751
683,The Promised Land,2023-10-05,7.748
684,Partly Cloudy,2009-05-28,7.75
685,The Chaser,2008-02-14,7.8
686,Misery,1990-11-30,7.75
687,Shrek,2001-05-18,7.749
688,The First Slam Dunk,2022-12-03,7.741
689,In the Arms of an Assassin,2019-12-06,7.7
690,Train to Busan,2016-07-20,7.7
691,A Matter of Life and Death,1946-12-15,7.7
692,Deep Red,1975-03-07,7.749
693,Notorious,1946-08-21,7.7
694,Perfect Days,2023-11-10,7.746
695,Zootopia,2016-02-11,7.747
696,RRR,2022-03-24,7.746
697,Underground,1995-05-13,7.746
698,Ninja Scroll,1993-06-05,7.745
699,Accattone,1961-09-25,7.7
700,Ponyo,2008-07-19,7.745
701,Touch of Evil,1958-03-30,7.7
702,Do the Right Thing,1989-06-14,7.745
703,Mystic River,2003-10-07,7.745
704,All Quiet on the Western Front,1930-04-29,7.748
705,How to Train Your Dragon: The Hidden World,2019-01-03,7.744
706,Platoon,1986-12-19,7.745
707,Crooks in Clover,1963-11-27,7.742
708,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,7.742
709,Vivre Sa Vie,1962-09-20,7.7
710,Hustle,2022-06-03,7.741
711,Past Lives,2023-06-02,7.741
712,PlayTime,1967-12-13,7.7
713,Annie Hall,1977-04-19,7.741
714,Two Is a Family,2016-12-07,7.74
715,Mustang,2015-06-17,7.7
716,Instructions Not Included,2013-07-20,7.739
717,My Mom Is a Character,2013-06-21,7.739
718,L'Eclisse,1962-04-13,7.7
719,The Gorge,2025-02-13,7.736
720,The Leopard,1963-03-27,7.7
721,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021-09-14,7.7
722,Batman: Under the Red Hood,2010-07-27,7.736
723,The Red Balloon,1956-08-24,7.7
724,"Batman: The Dark Knight Returns, Part 1",2012-08-21,7.735
725,The King's Speech,2010-11-26,7.735
726,The Breakfast Club,1985-02-15,7.734
727,The Celebration,1998-06-19,7.73
728,The Avengers,2012-04-25,7.733
729,Marriage Story,2019-09-28,7.732
730,Slumdog Millionaire,2008-11-12,7.731
731,Beauty and the Beast,1991-10-22,7.731
732,The Exorcist,1973-12-26,7.731
733,The Chorus,2004-03-17,7.731
734,Rurouni Kenshin: The Final,2021-04-23,7.73
735,The Sound of Music,1965-03-02,7.729
736,Cool Hand Luke,1967-11-01,7.7
737,Big Hero 6,2014-10-24,7.728
738,Marriage Italian Style,1964-12-18,7.7
739,Don't Blame the Kid,2016-05-13,7.7
740,My Night at Maud's,1969-06-04,7.7
741,Selena,1997-03-21,7.727
742,Red Shoes and the Seven Dwarfs,2019-07-25,7.725
743,"I, Daniel Blake",2016-10-21,7.725
744,All Quiet on the Western Front,2022-10-07,7.724
745,The Blues Brothers,1980-06-16,7.724
746,Three Steps Above Heaven,2010-12-03,7.723
747,John Wick: Chapter 4,2023-03-22,7.722
748,The Children's Hour,1961-12-19,7.7
749,Manhattan,1979-04-25,7.722
750,The Straight Story,1999-10-15,7.722
751,Magnolia,1999-12-17,7.722
752,Rush,2013-09-02,7.721
753,Who's Afraid of Virginia Woolf?,1966-06-22,7.7
754,Sword Art Online: The Movie – Ordinal Scale,2017-02-18,7.72
755,Cowboy Bebop: The Movie,2001-09-01,7.718
756,Safety Last!,1923-04-01,7.717
757,The Bridges of Madison County,1995-06-02,7.717
758,The Seven Deadly Sins: Cursed by Light,2021-07-02,7.716
759,Sound of Metal,2020-11-20,7.715
760,Mother,2009-05-28,7.715
761,Philadelphia,1993-12-22,7.7
762,Hotel Rwanda,2004-12-22,7.715
763,Edward Scissorhands,1990-12-07,7.715
764,Kwaidan,1965-01-06,7.714
765,Rurouni Kenshin Part III: The Legend Ends,2014-09-13,7.712
766,Batman Begins,2005-06-10,7.712
767,Rich in Love,2020-04-30,7.7
768,Pride,2014-09-12,7.7
769,Monsieur Verdoux,1947-09-26,7.7
770,Azur & Asmar: The Princes' Quest,2006-10-25,7.709
771,The Maltese Falcon,1941-10-18,7.709
772,Harry Potter and the Chamber of Secrets,2002-11-13,7.709
773,BPM (Beats per Minute),2017-08-23,7.708
774,PK,2014-12-18,7.7
775,The Incredibles,2004-10-27,7.709
776,Alice in the Cities,1974-05-17,7.7
777,A Million Miles Away,2023-09-08,7.7
778,Holding the Man,2015-08-27,7.7
779,The Sacrifice,1986-05-09,7.7
780,For Love and Gold,1966-04-07,7.7
781,Fiddler on the Roof,1971-11-03,7.707
782,Hiroshima Mon Amour,1959-06-10,7.7
783,Dreams,1990-05-11,7.7
784,The Ox-Bow Incident,1943-03-11,7.7
785,Nightcrawler,2014-10-23,7.7
786,Day & Night,2010-06-17,7.704
787,Jean de Florette,1986-08-27,7.7
788,A Charlie Brown Christmas,1965-12-09,7.701
789,Fried Green Tomatoes,1991-12-27,7.7
790,White Snake,2019-01-11,7.7
791,The Broken Circle Breakdown,2012-10-09,7.702
792,"Germany, Year Zero",1948-12-01,7.701
793,"Duck, You Sucker",1971-10-29,7.7
794,Back to the Outback,2021-12-03,7.7
795,My Little Pony: A New Generation,2021-09-22,7.7
796,Knockin' on Heaven's Door,1997-02-20,7.7
797,Belle,2021-07-16,7.698
798,Boys,2014-01-08,7.697
799,Cléo from 5 to 7,1962-04-11,7.7
800,Poor Things,2023-12-07,7.696
801,Stalag 17,1953-05-29,7.7
802,Prey,2022-08-02,7.695
803,Constantine: City of Demons - The Movie,2018-10-04,7.695
804,The Searchers,1956-05-16,7.7
805,Brief Encounter,1945-11-24,7.7
806,Cousins,2019-12-10,7.7
807,Maudie,2016-06-16,7.694
808,The Man from Nowhere,2010-08-04,7.693
809,Little Miss Sunshine,2006-07-26,7.693
810,Spirit: Stallion of the Cimarron,2002-05-24,7.692
811,Fireworks,1997-10-30,7.692
812,Divines,2016-08-31,7.7
813,Descendants 3,2019-08-02,7.69
814,The Trial of the Chicago 7,2020-09-25,7.688
815,The Martian,2015-09-30,7.688
816,Black Swan,2010-12-03,7.686
817,Embrace of the Serpent,2015-05-25,7.685
818,Moonrise Kingdom,2012-05-16,7.685
819,The Young Girls of Rochefort,1967-03-08,7.7
820,Little Eggs: A Frozen Rescue,2022-12-14,7.7
821,My Mom Is a Character 2,2016-12-22,7.684
822,Harry Potter and the Half-Blood Prince,2009-07-15,7.684
823,Onibaba,1964-11-21,7.7
824,If Anything Happens I Love You,2020-03-07,7.682
825,Tangerines,2013-10-16,7.681
826,Fallen Angels,1995-09-06,7.681
827,The Gentlemen,2020-01-01,7.68
828,The Holdovers,2023-10-27,7.679
829,The Princess Bride,1987-09-25,7.679
830,Tetris,2023-03-15,7.679
831,The Killer,2022-07-13,7.683
832,Rurouni Kenshin: The Beginning,2021-06-04,7.677
833,"No manches, Frida",2016-09-02,7.676
834,Charade,1963-12-01,7.675
835,Harry Potter and the Order of the Phoenix,2007-07-08,7.674
836,Aftersun,2022-10-21,7.674
837,The Outlaws,2017-10-03,7.673
838,High Noon,1952-06-09,7.7
839,Bacurau,2019-08-29,7.673
840,"Black Cat, White Cat",1998-06-01,7.7
841,How to Train Your Dragon 2,2014-06-05,7.7
842,Harvey,1950-12-04,7.672
843,The Count of Monte Cristo,2002-01-23,7.672
844,The Blind Side,2009-11-20,7.671
845,The Woman King,2022-09-16,7.67
846,Onward,2020-02-29,7.67
847,Scooby-Doo on Zombie Island,1998-09-22,7.67
848,Mississippi Burning,1988-12-08,7.67
849,Taste of Cherry,1997-09-28,7.669
850,Nosferatu,1922-02-16,7.669
851,Marcel the Shell with Shoes On,2022-06-24,7.668
852,Mysterious Skin,2005-03-30,7.668
853,Kabhi Khushi Kabhie Gham,2001-12-14,7.7
854,Inherit the Wind,1960-07-07,7.7
855,Sleuth,1972-12-10,7.7
856,Batman and Superman: Battle of the Super Sons,2022-10-17,7.7
857,Father There Is Only One,2019-08-02,7.666
858,Free Fall,2013-05-27,7.666
859,The Secret World of Arrietty,2010-07-16,7.666
860,Kind Hearts and Coronets,1949-06-21,7.7
861,The Warriors,1979-02-01,7.666
862,October Sky,1999-02-19,7.7
863,What's Eating Gilbert Grape,1993-12-17,7.664
864,The Hustler,1961-09-25,7.7
865,Jaws,1975-06-20,7.664
866,The Terminator,1984-10-26,7.663
867,The Traitor,2019-05-23,7.7
868,Memoirs of a Geisha,2005-12-06,7.662
869,Strangers on a Train,1951-06-27,7.7
870,Brazil,1985-02-20,7.662
871,Drishyam,2015-07-30,7.7
872,Lucky and Zorba,1998-12-22,7.7
873,Meshes of the Afternoon,1943-01-01,7.7
874,The Turin Horse,2011-03-31,7.659
875,The Last Picture Show,1971-10-03,7.659
876,Cast Away,2000-12-22,7.659
877,Berserk: The Golden Age Arc III - The Advent,2013-02-01,7.7
878,Three Colors: Blue,1993-09-08,7.658
879,Fireproof,2008-09-26,7.7
880,12 Angry Men,1997-08-17,7.7
881,The Batman,2022-03-01,7.655
882,Captain America: The Winter Soldier,2014-03-20,7.655
883,The World's Fastest Indian,2005-10-12,7.655
884,Primal Fear,1996-03-06,7.655
885,Cat on a Hot Tin Roof,1958-08-29,7.654
886,The Killing,1956-06-06,7.7
887,Fabricated City,2017-02-09,7.7
888,Time of the Gypsies,1988-12-21,7.652
889,Ask Me If I'm Happy,2000-12-15,7.7
890,Aladdin,1992-11-25,7.651
891,Hunt for the Wilderpeople,2016-03-31,7.65
892,Threads,1984-09-23,7.65
893,White Heat,1949-09-02,7.7
894,The Big Heat,1953-10-14,7.7
895,Laurence Anyways,2012-05-18,7.649
896,The Conformist,1970-07-01,7.649
897,Iron Man,2008-04-30,7.649
898,All the President's Men,1976-04-09,7.649
899,"Like Father, Like Son",2013-09-24,7.653
900,Geri's Game,1997-11-24,7.645
901,My Friends Act II,1982-12-22,7.6
902,Mickey's Christmas Carol,1983-10-19,7.644
903,Shottas,2002-02-27,7.6
904,System Crasher,2019-09-19,7.6
905,Fantastic Planet,1973-12-01,7.645
906,All About My Mother,1999-04-16,7.645
907,I Vitelloni,1953-09-17,7.6
908,Breakfast at Tiffany's,1961-10-06,7.644
909,"Quo Vadis, Aida?",2021-02-26,7.642
910,Andhadhun,2018-10-05,7.641
911,Roma,2018-11-21,7.641
912,Viridiana,1962-04-01,7.6
913,Atonement,2007-02-27,7.641
914,Planet of the Apes,1968-02-07,7.641
915,My Policeman,2022-10-20,7.64
916,Corpus Christi,2019-09-10,7.64
917,All the Bright Places,2020-02-28,7.641
918,In the Heat of the Night,1967-08-02,7.64
919,The Eight Mountains,2022-12-21,7.639
920,Ricky Gervais: Humanity,2018-03-13,7.639
921,Arsenic and Old Lace,1944-09-01,7.6
922,Vampire Hunter D: Bloodlust,2000-08-25,7.638
923,King Richard,2021-11-18,7.637
924,"Miraculous: Ladybug & Cat Noir, The Movie",2023-07-05,7.64
925,The Longest Ride,2015-04-09,7.637
926,Mediterraneo,1991-02-02,7.637
927,The Graduate,1967-12-21,7.637
928,The Lost Weekend,1945-11-29,7.6
929,Entergalactic,2022-09-28,7.636
930,The Banker,2020-03-06,7.636
931,The Kissing Booth 2,2020-07-24,7.636
932,Remember the Titans,2000-09-29,7.636
933,A Dog's Purpose,2017-01-19,7.6
934,The Philadelphia Story,1940-12-05,7.635
935,Another Round,2020-09-24,7.634
936,The Ultimate Gift,2007-03-09,7.6
937,Fitzcarraldo,1982-03-02,7.634
938,Breakthrough,2019-04-10,7.633
939,Bad Seeds,2018-11-21,7.632
940,I'm Starting from Three,1981-03-05,7.633
941,Sniper: The White Raven,2022-05-03,7.6
942,Kubo and the Two Strings,2016-08-18,7.632
943,Godzilla,1954-11-03,7.632
944,Detachment,2011-04-24,7.631
945,Eddie Murphy: Delirious,1983-10-15,7.6
946,Edge of Tomorrow,2014-05-27,7.629
947,Boogie Nights,1997-10-10,7.629
948,Victoria,2015-06-11,7.628
949,A Little Princess,1995-05-10,7.628
950,Boyz n the Hood,1991-07-12,7.627
951,Steins;Gate: The Movie - Load Region of Déjà Vu,2013-04-20,7.626
952,Kingsman: The Secret Service,2015-01-24,7.627
953,The Man from Earth,2007-06-10,7.626
954,Girl in the Basement,2021-02-27,7.625
955,The Tenant,1976-05-26,7.627
956,The Spirit of the Beehive,1973-10-08,7.6
957,Wrath of Man,2021-04-22,7.624
958,One Cut of the Dead,2017-11-04,7.626
959,The Super Mario Bros. Movie,2023-04-05,7.624
960,Le Cercle Rouge,1970-10-19,7.6
961,Amores Perros,2000-06-16,7.623
962,Laura,1944-10-11,7.622
963,Mira,2022-12-22,7.621
964,Deadpool,2016-02-09,7.6
965,Mad Max: Fury Road,2015-05-13,7.621
966,Il Divo,2008-05-28,7.621
967,Stagecoach,1939-03-02,7.6
968,"tick, tick... BOOM!",2021-11-11,7.6
969,Being There,1979-12-19,7.62
970,Elemental,2023-06-14,7.618
971,Persian Lessons,2020-04-17,7.618
972,Battleship Potemkin,1925-12-24,7.618
973,My Hero Academia: World Heroes' Mission,2021-08-06,7.616
974,Get Out,2017-02-24,7.616
975,The Sicilian Clan,1969-12-05,7.616
976,The Last Emperor,1987-10-04,7.616
977,Elevator to the Gallows,1958-01-29,7.6
978,Children of Men,2006-09-22,7.614
979,"Steamboat Bill, Jr.",1928-05-09,7.6
980,Night of the Living Dead,1968-10-04,7.613
981,A Streetcar Named Desire,1951-09-19,7.613
982,Groundhog Day,1993-02-11,7.613
983,Arrival,2016-11-10,7.612
984,The Little Prince,2015-07-29,7.613
985,Guardians of the Galaxy Vol. 2,2017-04-19,7.612
986,The Servant,1963-11-14,7.6
987,Maurice,1987-09-18,7.6
988,The Others,2001-08-02,7.612
989,Harold and Maude,1971-12-20,7.612
990,The Anthem of the Heart,2015-09-19,7.6
991,Mildred Pierce,1945-10-20,7.611
992,Sin Nombre,2009-03-20,7.61
993,Lilya 4-ever,2002-08-23,7.6
994,Anastasia,1997-11-20,7.61
995,Deadpool & Wolverine,2024-07-24,7.608
996,To All the Boys I've Loved Before,2018-08-17,7.61
997,A Man Called Ove,2015-12-25,7.6
998,Blue Velvet,1986-09-19,7.608
999,The Fabelmans,2022-11-11,7.607
1000,Avatar: The Way of Water,2022-12-14,7.607
1001,Dave Chappelle: Sticks & Stones,2019-08-26,7.606
1002,Tangled,2010-11-24,7.6
1003,Giant,1956-11-08,7.6
1004,Sweet Smell of Success,1957-07-04,7.606
1005,"Paul, Apostle of Christ",2018-03-23,7.604
1006,Forever My Girl,2018-01-26,7.603
1007,Barbie in the 12 Dancing Princesses,2006-09-19,7.6
1008,Seven Pounds,2008-12-18,7.604
1009,JFK,1991-12-20,7.604
1010,The Raid 2,2014-03-27,7.6
1011,Stand and Deliver,1988-03-11,7.6
1012,Butch Cassidy and the Sundance Kid,1969-09-23,7.602
1013,Twelve Monkeys,1995-12-29,7.601
1014,Sleepers,1996-10-18,7.6
1015,The Wild Bunch,1969-06-19,7.6
1016,The Greatest Beer Run Ever,2022-09-23,7.599
1017,Who Am I,2014-09-25,7.598
1018,The Fault in Our Stars,2014-05-16,7.599
1019,Evangelion: 1.0 You Are (Not) Alone,2007-09-01,7.599
1020,10 Things I Hate About You,1999-03-30,7.6
1021,The Dirty Dozen,1967-06-15,7.598
1022,Arthur the King,2024-03-15,7.599
1023,Out of the Past,1947-11-25,7.598
1024,Dragon Ball Z: The History of Trunks,1993-02-24,7.597
1025,Dolls,2002-10-12,7.6
1026,Toy Story 2,1999-10-30,7.597
1027,I Still Believe,2020-03-12,7.595
1028,Encanto,2021-10-13,7.595
1029,The Big Sleep,1946-08-23,7.6
1030,Billy Elliot,2000-09-28,7.595
1031,The Irishman,2019-11-01,7.594
1032,"They Shoot Horses, Don't They?",1969-12-10,7.594
1033,A Prophet,2009-08-26,7.594
1034,Thelma & Louise,1991-05-24,7.594
1035,King Kong,1933-03-15,7.594
1036,Beasts of No Nation,2015-09-11,7.6
1037,Operation Y and Other Shurik's Adventures,1965-07-24,7.598
1038,In a Lonely Place,1950-05-17,7.6
1039,Gladiator,1992-03-06,7.588
1040,Tombstone,1993-12-25,7.594
1041,Ride Your Wave,2019-06-21,7.6
1042,A Short Film About Killing,1988-03-11,7.592
1043,The Killer,1989-03-24,7.6
1044,Changeling,2008-10-24,7.591
1045,Wallace & Gromit: Vengeance Most Fowl,2024-12-18,7.594
1046,American Gangster,2007-11-02,7.59
1047,The Curious Case of Benjamin Button,2008-12-25,7.59
1048,The Wizard of Oz,1939-08-15,7.6
1049,Mortal Kombat Legends: Battle of the Realms,2021-08-30,7.583
1050,Ready Player One,2018-03-28,7.589
1051,Brother,1997-12-12,7.6
1052,Manon of the Spring,1986-11-19,7.6
1053,The Fall,2006-09-09,7.6
1054,The Last Samurai,2003-12-05,7.588
1055,Rurouni Kenshin Part II: Kyoto Inferno,2014-08-01,7.6
1056,Courageous,2011-09-30,7.6
1057,Avatar,2009-12-15,7.587
1058,The Big Country,1958-09-30,7.6
1059,Carandiru,2003-03-21,7.6
1060,Our Little Sister,2015-06-13,7.6
1061,Thor: Ragnarok,2017-10-02,7.585
1062,Eat Drink Man Woman,1994-08-03,7.6
1063,Sword of the Stranger,2007-09-29,7.583
1064,Apocalypto,2006-12-07,7.582
1065,Feel the Beat,2020-06-19,7.582
1066,Spies in Disguise,2019-12-04,7.583
1067,The Longest Day,1962-09-25,7.582
1068,Talk to Her,2002-03-15,7.6
1069,Au Hasard Balthazar,1966-05-25,7.6
1070,Hair Love,2019-08-14,7.58
1071,I Origins,2014-07-18,7.58
1072,Drive,2011-09-15,7.58
1073,Corpse Bride,2005-09-12,7.58
1074,Coach Carter,2005-01-14,7.579
1075,Heroic Losers,2019-08-15,7.6
1076,Godzilla vs. Kong,2021-03-24,7.578
1077,Scarlet Street,1945-12-25,7.6
1078,Les Misérables,2019-11-14,7.577
1079,Blade Runner 2049,2017-10-04,7.6
1080,Yu-Gi-Oh!: The Dark Side of Dimensions,2016-04-23,7.6
1081,Confessions,2010-06-04,7.576
1082,The Butterfly Effect,2004-01-17,7.576
1083,Imagine Me & You,2006-01-27,7.6
1084,The Black Phone,2022-06-17,7.575
1085,Kramer vs. Kramer,1979-12-07,7.575
1086,The Fallout,2021-03-17,7.6
1087,Eyes Without a Face,1960-01-11,7.574
1088,Ferris Bueller's Day Off,1986-06-11,7.573
1089,Godzilla Minus One,2023-11-03,7.572
1090,Hidden Kisses,2016-02-04,7.6
1091,The Garden of Words,2013-05-31,7.6
1092,Purple Noon,1960-03-10,7.572
1093,Ex Machina,2015-01-21,7.571
1094,Searching,2018-08-24,7.6
1095,The Danish Girl,2015-11-27,7.57
1096,The Hobbit: The Desolation of Smaug,2013-12-11,7.57
1097,Paisan,1946-12-10,7.6
1098,Poetry,2010-05-13,7.569
1099,The Game,1997-09-12,7.567
1100,Moana,2016-10-13,7.566
1101,The Sea Inside,2004-09-03,7.6
1102,"Girl, Interrupted",1999-12-21,7.6
1103,The Diving Bell and the Butterfly,2007-05-23,7.565
1104,Anonymously Yours,2021-12-10,7.6
1105,Where the Crawdads Sing,2022-07-14,7.6
1106,Bao,2018-06-15,7.564
1107,The Seven Deadly Sins: Prisoners of the Sky,2018-08-18,7.6
1108,Jules and Jim,1962-01-23,7.6
1109,Moon,2009-06-12,7.6
1110,A Close Shave,1996-03-07,7.562
1111,What We Do in the Shadows,2014-06-19,7.561
1112,My Man Godfrey,1936-09-02,7.561
1113,Hot Fuzz,2007-02-14,7.561
1114,Mary Poppins,1964-12-17,7.561
1115,Zindagi Na Milegi Dobara,2011-07-15,7.56
1116,The Adventures of Pinocchio,1972-12-21,7.6
1117,The Holy Mountain,1973-11-29,7.559
1118,Halloween,1978-10-24,7.56
1119,The Consequences of Love,2004-09-24,7.6
1120,I Am Sam,2001-12-28,7.558
1121,Cinderella Man,2005-06-02,7.558
1122,Gattaca,1997-09-07,7.558
1123,The Six Triple Eight,2024-12-06,7.56
1124,Casino Royale,2006-11-14,7.557
1125,The Emperor's New Groove,2000-12-15,7.557
1126,Gandhi,1982-12-01,7.557
1127,Inside Out 2,2024-06-11,7.556
1128,Pandora,2016-12-07,7.556
1129,Treasure Planet,2002-11-26,7.555
1130,Guess Who's Coming to Dinner,1967-12-11,7.556
1131,Exhuma,2024-02-22,7.554
1132,Beautiful Boy,2018-10-12,7.554
1133,Happy Together,1997-05-30,7.6
1134,Lost Highway,1997-01-15,7.552
1135,The Fifth Element,1997-05-02,7.553
1136,The Hand of God,2021-11-24,7.549
1137,The Wolf's Call,2019-02-20,7.549
1138,Secrets & Lies,1996-05-24,7.5
1139,They Call Me Trinity,1970-12-22,7.549
1140,Doctor Zhivago,1965-12-22,7.549
1141,Tell It to the Bees,2018-09-09,7.5
1142,Manchester by the Sea,2016-11-17,7.548
